DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VP
1532.7298,-999,0.0919,77.6428,76.7665,4232.024,40.0358,35,2178.2352,8.3383,-999,3754.6156,14.3727,0.1195,0.1165,2231.0071,2071.1568,5.159,1.8206,1,-6445.397,0.1411,1,105.4887,1532.7578,0.0973,3925.6699
1532.8822,-999,0.0821,75.7019,76.7657,4232.7732,43.9986,35,2178.4115,8.3383,-999,3754.9409,14.3727,0.1061,0.1038,2111.0077,2072.1024,5.4143,1.8321,1,-6445.5483,0.1256,1,105.4921,1532.8828,0.1038,4026.319
1533.0346,-999,0.0711,75.9167,76.765,4234.1976,44.1906,35,2178.5879,8.3383,-999,3755.2659,14.3728,0.0888,0.0992,2125.1443,2074.7195,5.258,1.8308,1,-6445.7002,0.1273,1,105.4954,1533.0078,0.1103,4014.9269
1533.187,-999,0.0681,73.831,76.7642,4234.4539,46.7381,35,2178.7642,8.3383,-999,3755.5932,14.3729,0.0884,0.0894,1983.2664,2074.4694,4.9226,1.8436,1,-6445.8516,0.1106,1,105.4987,1533.1328,0.1196,4128.3472
1533.3394,-999,0.0797,68.235,76.7634,4234.7337,39.8843,35,2179.1169,8.3383,-999,3756.2609,14.3731,0.0633,0.0728,1510.7677,2073.5277,4.5574,1.8803,1,-6446.1553,0.0659,1,105.5021,1533.3828,0.1261,4466.9158
1533.4918,-999,0.0959,69.5824,76.7626,4235.192,38.9604,35,2179.2933,8.3383,-999,3756.5931,14.3732,0.0744,0.0863,1638.8926,2073.7791,4.2077,1.8711,1,-6446.3066,0.0767,1,105.5054,1533.5078,0.1183,4380.418
1533.6442,-999,0.1089,74.5452,76.7618,4237.7326,36.572,35,2179.4696,8.3383,-999,3756.9196,14.3733,0.1051,0.1126,2034.5293,2079.2556,4.201,1.8392,1,-6446.4585,0.1164,1,105.5087,1533.6328,0.1111,4088.7944
1533.7966,-999,0.113,72.0819,76.761,4240.5381,37.9345,35,2179.6459,8.3382,-999,3757.2489,14.3734,0.093,0.1048,1852.0489,2085.5407,4.3239,1.8547,1,-6446.6099,0.0967,1,105.512,1533.7578,0.1099,4228.5234
1533.949,-999,0.1156,72.606,76.7602,4242.6963,41.7917,35,2179.9986,8.3382,-999,3757.9062,14.3736,0.0964,0.1082,1893.3646,2089.2574,4.5166,1.8513,1,-6446.9136,0.1008,1,105.5154,1534.0078,0.1146,4198.0002
1534.1014,-999,0.1166,78.0389,76.7594,4244.1771,37.7256,35,2180.175,8.3382,-999,3758.229,14.3736,0.1273,0.1305,2256.5295,2092.0074,4.7406,1.8183,1,-6447.0649,0.1443,1,105.5187,1534.1328,0.1146,3905.7444
1534.2538,-999,0.1163,78.1314,76.7586,4245.8355,40.4499,35,2180.3513,8.3382,-999,3758.5517,14.3737,0.1278,0.1307,2262.0872,2095.1992,4.9638,1.8177,1,-6447.2168,0.1451,1,105.522,1534.2578,0.1119,3901.1204
1534.4062,-999,0.114,76.3848,76.7578,4242.3962,40.31,35,2180.5277,8.3382,-999,3758.8763,14.3737,0.1171,0.1225,2157.2923,2085.1277,5.1613,1.828,1,-6447.3682,0.1311,1,105.5254,1534.3828,0.1094,3990.3227
1534.5586,-999,0.1085,75.9867,76.757,4237.9355,44.2298,35,2180.704,8.3382,-999,3759.2012,14.3738,0.1133,0.1182,2132.2101,2072.0426,4.8307,1.8304,1,-6447.52,0.1279,1,105.5287,1534.5078,0.1086,4011.2283
1534.711,-999,0.093,76.9065,76.7562,4237.4004,44,35,2181.0567,8.3382,-999,3759.8492,14.374,0.1148,0.1141,2190.2941,2068.9985,4.1138,1.8249,1,-6447.8232,0.1353,1,105.532,1534.7578,0.1174,3963.2541
1534.8634,-999,0.0918,79.1353,76.7554,4238.6741,44.2476,35,2181.233,8.3382,-999,3760.1709,14.374,0.107,0.1224,2319.4447,2071.2036,3.7202,1.8119,1,-6447.9751,0.1531,1,105.5354,1534.8828,0.1196,3851.6313
1535.0158,-999,0.095,80.173,76.7546,4240.4002,52.1073,35,2181.4094,8.3382,-999,3760.4915,14.3741,0.1091,0.1282,2374.9039,2074.5231,3.8515,1.806,1,-6448.1265,0.1614,1,105.5387,1535.0078,0.1172,3801.7787
1535.1682,-999,0.0984,78.3273,76.7538,4244.6792,49.4912,35,2181.5857,8.3382,-999,3760.814,14.3741,0.1226,0.1225,2274.8591,2084.5009,4.2826,1.8166,1,-6448.2783,0.1466,1,105.542,1535.1328,0.1116,3891.3635
1535.3206,-999,0.1018,73.2487,76.753,4250.4109,48.3257,35,2181.9384,8.3382,-999,3761.4699,14.3743,0.0963,0.1039,1944.2176,2097.801,4.605,1.8473,1,-6448.5815,0.106,1,105.5453,1535.3828,0.1007,4161.166
1535.473,-999,0.0899,72.8266,76.7522,4255.1477,44.8415,35,2182.1148,8.3382,-999,3761.7983,14.3744,0.0907,0.0962,1912.6437,2109.2058,5.0173,1.8499,1,-6448.7334,0.1026,1,105.5487,1535.5078,0.1067,4185.2839
1535.6254,-999,0.0704,76.9242,76.7514,4258.6472,49.5605,35,2182.2911,8.3382,-999,3762.1223,14.3744,0.0818,0.1029,2192.9109,2117.1799,5.1978,1.8248,1,-6448.8848,0.1354,1,105.552,1535.6328,0.1199,3962.3421
1535.7778,-999,0.0586,78.6231,76.7507,4260.1777,47.5703,35,2182.4675,8.3382,-999,3762.4445,14.3745,0.0588,0.1038,2292.6841,2120.0573,5.2543,1.8149,1,-6449.0366,0.149,1,105.5553,1535.7578,0.1287,3876.7233
1535.9302,-999,0.0604,77.706,76.7499,4259.2505,47.2598,35,2182.6438,8.3382,-999,3762.7676,14.3746,0.0639,0.101,2240.2573,2116.8291,5.2864,1.8202,1,-6449.1885,0.1416,1,105.5587,1535.8828,0.1256,3922.477
1536.0826,-999,0.0879,76.391,76.7491,4250.2167,45.2248,35,2182.9965,8.3382,-999,3763.4167,14.3747,0.1113,0.1095,2160.6685,2086.0626,5.2312,1.828,1,-6449.4917,0.1311,1,105.562,1536.1328,0.1078,3989.9988
1536.235,-999,0.1077,74.9175,76.7483,4238.8851,46.0894,35,2183.1728,8.3382,-999,3763.7428,14.3748,0.1071,0.1135,2064.4442,2043.4103,5.0765,1.8369,1,-6449.6431,0.1193,1,105.5653,1536.2578,0.1039,4068.4753
1536.3874,-999,0.1199,76.2824,76.7475,4232.162,45.974,35,2183.3492,8.3381,-999,3764.0675,14.3749,0.1185,0.1251,2154.2607,2022.9501,4.8893,1.8286,1,-6449.7949,0.1303,1,105.5687,1536.3828,0.1018,3995.6792
1536.5398,-999,0.1217,78.9905,76.7467,4233.5372,43.3707,35,2183.5255,8.3381,-999,3764.3893,14.3749,0.1345,0.1368,2314.4537,2025.4972,4.8023,1.8127,1,-6449.9468,0.1519,1,105.572,1536.5078,0.0979,3858.6919
1536.6922,-999,0.1196,76.0069,76.7459,4235.9461,37.1707,35,2183.7019,8.3381,-999,3764.7142,14.375,0.1172,0.1238,2137.1372,2030.6104,4.8503,1.8303,1,-6450.0981,0.1281,1,105.5753,1536.6328,0.092,4010.1622
1536.8446,-999,0.1188,69.0244,76.7451,4238.5919,35.8823,35,2184.0546,8.3381,-999,3765.3799,14.3752,0.0804,0.0955,1591.8522,2035.4216,4.9771,1.8749,1,-6450.4014,0.0722,1,105.5786,1536.8828,0.0878,4415.8298
1536.997,-999,0.1167,70.035,76.7443,4240.0133,36.765,35,2184.2309,8.3381,-999,3765.7116,14.3753,0.0846,0.0985,1684.7844,2038.0083,4.9798,1.8681,1,-6450.5532,0.0803,1,105.582,1537.0078,0.0886,4352.1097
1537.1494,-999,0.1117,75.3526,76.7435,4239.8431,43.0478,35,2184.4073,8.3381,-999,3766.0372,14.3754,0.1113,0.1172,2095.1964,2036.6894,4.98,1.8342,1,-6450.7051,0.1228,1,105.5853,1537.1328,0.0884,4044.9832
1537.3018,-999,0.1053,77.159,76.7427,4235.1779,45.9577,35,2184.5836,8.3381,-999,3766.361,14.3754,0.1201,0.1213,2210.0477,2022.8107,4.6969,1.8234,1,-6450.8564,0.1373,1,105.5886,1537.2578,0.0878,3950.2845
1537.4542,-999,0.0899,76.1083,76.7419,4229.4471,45.461,35,2184.9363,8.3381,-999,3767.0106,14.3756,0.1104,0.1094,2145.0931,2004.6595,4.4491,1.8297,1,-6451.1597,0.1289,1,105.592,1537.5078,0.0839,4004.8194
1537.6066,-999,0.0847,74.362,76.7411,4226.2086,39.9397,35,2185.1126,8.3381,-999,3767.3373,14.3757,0.0989,0.0998,2028.338,1995.4677,4.3707,1.8403,1,-6451.3115,0.1149,1,105.5953,1537.6328,0.0818,4098.8677
1537.759,-999,0.09,74.7693,76.7403,4227.0559,39.5523,35,2185.289,8.3381,-999,3767.6636,14.3757,0.1025,0.1041,2056.8199,1996.623,4.2523,1.8378,1,-6451.4634,0.1182,1,105.5986,1537.7578,0.0822,4076.5394
1537.9114,-999,0.1005,75.9246,76.7395,4227.9233,39.8858,35,2185.4653,8.3381,-999,3767.9886,14.3758,0.1117,0.1139,2133.9585,1997.8272,4.2421,1.8308,1,-6451.6147,0.1274,1,105.6019,1537.8828,0.0849,4014.5091
1538.0638,-999,0.1111,78.531,76.7387,4228.2511,41.394,35,2185.6417,8.3381,-999,3768.3109,14.3759,0.1295,0.1297,2291.548,1997.7653,4.4561,1.8154,1,-6451.7666,0.1482,1,105.6053,1538.0078,0.0876,3881.2698
1538.2162,-999,0.1233,76.779,76.7379,4228.0537,38.8695,35,2185.9944,8.3381,-999,3768.9592,14.376,0.1225,0.1287,2188.5323,1995.6856,4.6244,1.8257,1,-6452.0698,0.1342,1,105.6086,1538.2578,0.095,3969.8355
1538.3686,-999,0.1139,75.9785,76.7372,4227.5042,40.8341,35,2186.1707,8.3381,-999,3769.2841,14.3761,0.1151,0.1208,2138.2731,1993.4403,4.7307,1.8305,1,-6452.2217,0.1278,1,105.6119,1538.3828,0.0999,4011.6612
1538.521,-999,0.0936,77.4388,76.7364,4228.2745,38.5785,35,2186.3471,8.3381,-999,3769.6076,14.3761,0.1189,0.1166,2229.0424,1994.4263,4.8391,1.8218,1,-6452.373,0.1395,1,105.6153,1538.5078,0.1026,3936.0114
1538.6734,-999,0.0647,78.4477,76.7356,4229.9519,38.1863,35,2186.5234,8.3381,-999,3769.93,14.3762,0.0748,0.1062,2287.9516,1997.6011,4.9136,1.8159,1,-6452.5249,0.1476,1,105.6186,1538.6328,0.1009,3885.3912
1538.8258,-999,0.0308,79.3745,76.7348,4232.8661,38.2316,35,2186.8761,8.338,-999,3770.5728,14.3763,0.0296,0.0929,2339.685,2003.0418,4.8744,1.8106,1,-6452.8281,0.155,1,105.6219,1538.8828,0.0896,3840.0242
1538.9782,-999,0.0503,79.9352,76.734,4235.1137,40.7196,35,2187.0524,8.338,-999,3770.8937,14.3764,0.0556,0.1049,2369.8214,2007.6874,4.5661,1.8074,1,-6452.98,0.1595,1,105.6253,1539.0078,0.0846,3813.0886
1539.1306,-999,0.0791,79.1843,76.7332,4236.7692,44.1848,35,2187.2288,8.338,-999,3771.2153,14.3764,0.0972,0.1163,2329.8176,2010.8655,4.1391,1.8116,1,-6453.1313,0.1535,1,105.6286,1539.1328,0.0863,3849.2479
1539.283,-999,0.105,78.2204,76.7324,4238.5169,42.8102,35,2187.4051,8.338,-999,3771.5379,14.3765,0.1261,0.1254,2276.1027,2014.2481,3.8152,1.8172,1,-6453.2832,0.1458,1,105.6319,1539.2578,0.0978,3896.6817
1539.4354,-999,0.1235,78.7429,76.7316,4239.7606,45.9797,35,2187.5815,8.338,-999,3771.86,14.3765,0.133,0.1367,2305.9074,2016.3906,3.803,1.8142,1,-6453.4346,0.1499,1,105.6352,1539.3828,0.1183,3870.8252
1539.5878,-999,0.119,79.0908,76.7308,4239.6801,45.5918,35,2187.9342,8.338,-999,3772.5035,14.3767,0.1336,0.1359,2325.5903,2014.6518,3.8512,1.8122,1,-6453.7383,0.1527,1,105.6386,1539.6328,0.1368,3853.7984
