DEPTH,AC,CAL,CALI,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1109.144,78.05,0.12,0.12,0.102,78.05,81.7297,2743.1895,25.77,38,1565.9839,8.2839,17.6088,-999.25,3431.4878,18.1523,-999.25,1805.9946,8.56,2.447,1,15.95,-999.25,-999.25,111.6596,1109.1672,0.0429,-999.25,3906.189
1109.2964,78.38,0.13,0.13,0.1037,78.38,81.7262,2742.6553,25.46,38,1566.1989,8.2839,17.6088,-999.25,3432.0171,18.1526,-999.25,1803.908,8.72,2.4444,1,16,-999.25,-999.25,111.6637,1109.3196,0.0404,-999.25,3889.7429
1109.4488,80.98,0.17,0.17,0.1169,80.98,81.7227,2742.0425,25.54,38,1566.4139,8.2839,17.6088,-999.25,3432.5417,18.1529,-999.25,1801.6418,8.77,2.4246,1,16.08,-999.25,-999.25,111.6678,1109.472,0.041,-999.25,3764.8562
1109.6012,82.39,0.16,0.16,0.1239,82.39,81.7191,2741.5708,25.88,38,1566.6289,8.2839,17.6088,-999.25,3433.0642,18.1531,-999.25,1799.7115,8.71,2.4141,1,16.1,-999.25,-999.25,111.6718,1109.6244,0.0437,-999.25,3700.4253
1109.7536,87.44,0.11,0.11,0.1477,87.44,81.7156,2741.4285,27.33,38,1566.8439,8.2839,17.6088,-999.25,3433.5791,18.1534,-999.25,1798.569,8.41,2.3785,1,16.14,-999.25,-999.25,111.6759,1109.7769,0.0556,-999.25,3486.7114
1109.906,88.61,0.04,0.04,0.1529,88.61,81.7121,2741.7949,28.28,38,1567.059,8.2839,17.6088,-999.25,3434.0923,18.1536,-999.25,1798.6307,8.07,2.3706,1,16.08,-999.25,-999.25,111.68,1109.9292,0.0636,-999.25,3440.6731
1110.0584,88.29,0,0,0.1515,88.29,81.7086,2742.5417,28.93,38,1567.2739,8.2839,17.6088,-999.25,3434.6057,18.1538,-999.25,1799.5909,7.74,2.3727,1,16.01,-999.25,-999.25,111.6841,1110.0815,0.0692,-999.25,3453.1436
1110.2108,88.18,0,0,0.151,88.18,81.7051,2743.3689,29.16,38,1567.4889,8.2839,17.6088,-999.25,3435.1196,18.154,-999.25,1800.7401,7.64,2.3735,1,15.98,-999.25,-999.25,111.6881,1110.234,0.0712,-999.25,3457.4512
1110.3632,88.22,0.04,0.04,0.1512,88.22,81.7016,2744.5483,30.16,38,1567.7039,8.2839,17.6088,-999.25,3435.6333,18.1543,-999.25,1802.7222,7.26,2.3732,1,15.89,-999.25,-999.25,111.6922,1110.3864,0.08,-999.25,3455.8835
1110.5156,89.64,0.12,0.12,0.1575,89.64,81.698,2745.8152,30.76,38,1567.9189,8.2839,17.6088,-999.25,3436.145,18.1545,-999.25,1804.9138,7.09,2.3638,1,15.88,-999.25,-999.25,111.6963,1110.5388,0.0854,-999.25,3401.1384
1110.668,91.29,0.18,0.18,0.1647,91.29,81.6945,2747.1167,30.99,38,1568.1339,8.2839,17.6088,-999.25,3436.6543,18.1547,-999.25,1807.191,6.87,2.353,1,15.95,-999.25,-999.25,111.7004,1110.6912,0.0875,-999.25,3339.6653
1110.8204,91.54,0.17,0.17,0.1657,91.54,81.691,2748.4048,30.89,38,1568.3489,8.2839,17.6088,-999.25,3437.1631,18.1549,-999.25,1809.4365,6.72,2.3514,1,15.98,-999.25,-999.25,111.7044,1110.8436,0.0866,-999.25,3330.5447
1110.9728,92.2,0.1,0.1,0.1685,92.2,81.6875,2749.6504,30.46,38,1568.5638,8.2839,17.6088,-999.25,3437.6711,18.1551,-999.25,1811.5839,6.06,2.3472,1,16.08,-999.25,-999.25,111.7085,1110.996,0.0827,-999.25,3306.7034
1111.1252,92.2,0.03,0.03,0.1685,92.2,81.684,2750.7976,30.07,38,1568.7789,8.2839,17.6088,-999.25,3438.1792,18.1552,-999.25,1813.498,5.56,2.3472,1,16.15,-999.25,-999.25,111.7126,1111.1484,0.0792,-999.25,3306.7034
1111.2776,93.48,0,0,0.1739,93.48,81.6805,2751.843,29.73,38,1568.9939,8.2839,17.6088,-999.25,3438.6855,18.1554,-999.25,1815.175,5.11,2.3391,1,16.2,-999.25,-999.25,111.7167,1111.3008,0.0762,-999.25,3261.4253
1111.43,95.48,0,0,0.1821,95.48,81.6769,2752.7766,29.85,38,1569.2089,8.2839,17.6088,-999.25,3439.1892,18.1556,-999.25,1816.5905,4.99,2.3268,1,16.21,-999.25,-999.25,111.7207,1111.4532,0.0773,-999.25,3193.1089
1111.5824,104.69,0,0,0.2175,104.69,81.6734,2753.7036,30.77,38,1569.424,8.2839,17.6088,-999.25,3439.6814,18.1557,-999.25,1818.007,4.54,2.2738,1,16.27,-999.25,-999.25,111.7248,1111.6056,0.0855,-999.25,2912.1985
1111.7348,112.74,0,0,0.2453,112.74,81.6699,2754.5654,32.35,38,1569.6389,8.2839,17.6088,-999.25,3440.1646,18.1558,-999.25,1819.2814,4.38,2.2321,1,16.3,-999.25,-999.25,111.7289,1111.7581,0.1002,-999.25,2704.2581
1111.8872,119.43,-0.02,-0.02,0.2666,119.43,81.6664,2755.5044,33.84,38,1569.8539,8.2839,17.6088,-999.25,3440.6406,18.1558,-999.25,1820.748,4.28,2.2001,1,16.33,-999.25,-999.25,111.733,1111.9104,0.1145,-999.25,2552.7761
1112.0396,119.58,-0.04,-0.04,0.2671,119.58,81.6629,2756.5642,34.05,38,1570.0688,8.2839,17.6088,-999.25,3441.1167,18.1558,-999.25,1822.5005,4.26,2.1994,1,16.32,-999.25,-999.25,111.737,1112.0627,0.1165,-999.25,2549.574
1112.192,118.01,-0.09,-0.09,0.2622,118.01,81.6594,2757.7075,34.69,38,1570.2839,8.2839,17.6088,-999.25,3441.5945,18.1558,-999.25,1824.4489,4.2,2.2067,1,16.31,-999.25,-999.25,111.7411,1112.2152,0.1229,-999.25,2583.4934
1112.3444,111.81,-0.04,-0.04,0.2422,111.81,81.6558,2759.0903,34.68,38,1570.4989,8.2839,17.6088,-999.25,3442.0786,18.1559,-999.25,1826.9545,4.22,2.2367,1,16.29,-999.25,-999.25,111.7452,1112.3676,0.1228,-999.25,2726.7512
1112.4968,104.86,0.05,0.05,0.2181,104.86,81.6523,2760.6169,34.38,38,1570.7139,8.2839,17.6088,-999.25,3442.5706,18.156,-999.25,1829.7897,4.29,2.2729,1,16.26,-999.25,-999.25,111.7493,1112.52,0.1198,-999.25,2907.4771
1112.6492,103.11,0.06,0.06,0.2117,103.11,81.6488,2762.2107,34,38,1570.929,8.2839,17.6088,-999.25,3443.0647,18.1561,-999.25,1832.7815,4.35,2.2825,1,16.24,-999.25,-999.25,111.7533,1112.6724,0.1161,-999.25,2956.8232
1112.8016,97.42,0.1,0.1,0.1899,97.42,81.6453,2763.8284,32.4,38,1571.1439,8.2839,17.6088,-999.25,3443.5657,18.1563,-999.25,1835.8202,4.59,2.3151,1,16.18,-999.25,-999.25,111.7574,1112.8248,0.1006,-999.25,3129.5222
1112.954,97.42,0.11,0.11,0.1899,97.42,81.6418,2765.5439,31.25,38,1571.3589,8.2839,17.6088,-999.25,3444.0669,18.1565,-999.25,1839.0911,4.8,2.3151,1,16.16,-999.25,-999.25,111.7615,1112.9772,0.0899,-999.25,3129.5222
1113.1064,98.79,0.15,0.15,0.1953,98.79,81.6383,2767.3328,30.18,38,1571.5739,8.2839,17.6088,-999.25,3444.5662,18.1566,-999.25,1842.5381,5.02,2.307,1,16.11,-999.25,-999.25,111.7656,1113.1296,0.0802,-999.25,3086.1226
1113.2588,98.96,0.13,0.13,0.196,98.96,81.6347,2769.2571,29.94,38,1571.7889,8.2839,17.6088,-999.25,3445.0652,18.1567,-999.25,1846.3059,5.12,2.306,1,16.06,-999.25,-999.25,111.7696,1113.282,0.0781,-999.25,3080.821
1113.4112,98.61,0.01,0.01,0.1946,98.61,81.6312,2771.0203,29.24,38,1572.0039,8.2839,17.6088,-999.25,3445.5647,18.1569,-999.25,1849.6931,5.52,2.3081,1,15.86,-999.25,-999.25,111.7737,1113.4344,0.0719,-999.25,3091.7559
1113.5636,95.54,-0.11,-0.11,0.1824,95.54,81.6277,2772.6882,29.41,38,1572.2189,8.2839,17.6088,-999.25,3446.0684,18.1571,-999.25,1852.8492,5.84,2.3264,1,15.7,-999.25,-999.25,111.7778,1113.5868,0.0734,-999.25,3191.1038
1113.716,91.26,-0.15,-0.15,0.1645,91.26,81.6242,2774.1162,29.39,38,1572.434,8.2839,17.6088,-999.25,3446.5776,18.1573,-999.25,1855.4301,6.24,2.3532,1,15.55,-999.25,-999.25,111.7819,1113.7393,0.0732,-999.25,3340.7632
1113.8684,89.74,-0.13,-0.13,0.1579,89.74,81.6207,2775.5349,29.04,38,1572.6489,8.2839,17.6088,-999.25,3447.0891,18.1575,-999.25,1857.9862,6.45,2.3631,1,15.49,-999.25,-999.25,111.7859,1113.8916,0.0702,-999.25,3397.3484
1114.0208,84.21,-0.03,-0.03,0.1327,84.21,81.6172,2776.6907,27.51,38,1572.8639,8.2839,17.6088,-999.25,3447.6089,18.1577,-999.25,1859.9095,7.33,2.401,1,15.27,-999.25,-999.25,111.79,1114.0439,0.0571,-999.25,3620.4495
1114.1732,82.18,0,0,0.1229,82.18,81.6137,2777.8293,26.44,38,1573.0789,8.2839,17.6088,-999.25,3448.1318,18.158,-999.25,1861.7885,7.99,2.4157,1,15.18,-999.25,-999.25,111.7941,1114.1964,0.0483,-999.25,3709.8813
1114.3256,80.59,0,0,0.115,80.59,81.6101,2778.8533,25.64,38,1573.2939,8.2839,17.6088,-999.25,3448.6572,18.1583,-999.25,1863.3918,8.65,2.4275,1,15.11,-999.25,-999.25,111.7982,1114.3488,0.0418,-999.25,3783.0754
1114.478,80.05,0.03,0.03,0.1123,80.05,81.6066,2779.5857,25.5,38,1573.5089,8.2839,17.6088,-999.25,3449.1836,18.1586,-999.25,1864.3051,8.86,2.4316,1,15.08,-999.25,-999.25,111.8022,1114.5012,0.0407,-999.25,3808.5952
1114.6304,78.09,0.17,0.17,0.1022,78.09,81.6031,2780.3108,25.13,38,1573.7239,8.2839,17.6088,-999.25,3449.7131,18.1589,-999.25,1865.1956,9.61,2.4467,1,14.95,-999.25,-999.25,111.8063,1114.6536,0.0378,-999.25,3904.188
1114.7828,77.46,0.33,0.33,0.0989,77.46,81.5996,2780.5208,25.33,38,1573.9388,8.2839,17.6088,-999.25,3450.2439,18.1592,-999.25,1864.8656,9.89,2.4516,1,14.88,-999.25,-999.25,111.8104,1114.806,0.0394,-999.25,3935.9419
