DEPTH,AC,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1079.5,83.32,-999,0.1284,83.32,76.1684,2666.7346,49.88,42,1524.6051,8.2867,9.8476,-999,3298.0733,17.926,0.1287,0.1575,1747.9669,1827.3147,5.22,2.4074,1,16.8,0.1866,1,140.3179,1079.5,0.2296,10.7724,3659.122
1079.625,82.53,-999,0.1246,82.53,76.166,2666.086,49.75,42,1524.7814,8.2867,9.8476,-999,3298.5017,17.9263,0.1244,0.1524,1725.934,1825.1561,5.23,2.4131,1,16.8,0.1802,1,140.3215,1079.625,0.2284,-999,3694.1482
1079.75,82.93,-999,0.1265,82.93,76.1637,2665.3925,49.62,42,1524.9577,8.2867,9.8476,-999,3298.9296,17.9265,0.127,0.155,1737.5763,1822.8936,5.25,2.4102,1,16.79,0.1834,1,140.3251,1079.75,0.2272,-999,3676.33
1079.875,85.45,-999,0.1385,85.45,76.1613,2664.5353,49.4,42,1525.1341,8.2867,9.8476,-999,3299.3543,17.9267,0.1419,0.1711,1806.4177,1820.2532,5.26,2.3922,1,16.75,0.2036,1,140.3288,1079.875,0.2251,-999,3567.9116
1080,88.22,-999,0.1512,88.22,76.159,2663.3666,48.95,42,1525.3104,8.2867,9.8476,-999,3299.7756,17.9269,0.1581,0.1885,1876.4672,1816.8914,5.28,2.3732,1,16.53,0.2258,1,140.3324,1080,0.2209,-999,3455.8836
1080.125,91.1,-999,0.1639,91.1,76.1567,2662.092,48.51,42,1525.4868,8.2867,10.0979,-999,3300.1936,17.9271,0.1732,0.2063,1943.7209,1813.2869,5.29,2.3542,1,16.53,0.2488,1,140.336,1080.125,0.2168,-999,3346.6306
1080.25,94.27,-999,0.1772,94.27,76.1544,2660.9905,48.08,42,1525.6631,8.2867,10.0979,-999,3300.608,17.9273,0.1869,0.2257,2011.8634,1810.09,5.31,2.3342,1,16.53,0.2742,1,140.3396,1080.25,0.2129,-999,3234.0941
1080.375,95.87,-999,0.1837,95.87,76.152,2660.4345,47.65,42,1525.8395,8.2867,10.0979,-999,3301.0206,17.9275,0.1939,0.2353,2044.2943,1808.1665,5.32,2.3244,1,16.53,0.287,1,140.3433,1080.375,0.2089,-999,3180.1194
1080.5,95.87,-999,0.1837,95.87,76.1497,2660.343,47.93,42,1526.0158,8.2867,10.0979,-999,3301.4333,17.9277,0.1935,0.2353,2044.5975,1807.325,5.33,2.3244,1,16.53,0.287,1,140.3469,1080.5,0.2115,-999,3180.1194
1080.625,94.56,-999,0.1784,94.56,76.1474,2660.652,48.7,42,1526.1922,8.2867,10.0979,-999,3301.8474,17.9278,0.1872,0.2274,2018.6906,1807.4153,5.35,2.3324,1,16.54,0.2765,1,140.3505,1080.625,0.2186,-999,3224.1756
1080.75,91.82,-999,0.1669,91.82,76.145,2661.1817,49.87,42,1526.3685,8.2867,10.0979,-999,3302.2645,17.928,0.1743,0.2107,1961.1253,1808.0156,5.36,2.3496,1,16.61,0.2546,1,140.3541,1080.75,0.2295,-999,3320.3882
1080.875,88.95,-999,0.1545,88.95,76.1427,2661.8824,51.5,42,1526.5449,8.2867,10.0979,-999,3302.6849,17.9282,0.1565,0.193,1895.9875,1809.0103,5.38,2.3683,1,16.71,0.2316,1,140.3578,1080.875,0.2451,-999,3427.5216
1081,86.27,-999,0.1423,86.27,76.1404,2662.5986,51.93,42,1526.7212,8.2867,10.0979,-999,3303.1086,17.9285,0.1409,0.1762,1830.2184,1810.0368,5.39,2.3865,1,16.85,0.2102,1,140.3614,1081,0.2493,-999,3533.9985
1081.125,86.27,-999,0.1423,86.27,76.138,2663.3666,51.66,42,1526.8975,8.2867,10.0979,-999,3303.5323,17.9287,0.1415,0.1762,1830.5049,1811.1841,5.41,2.3865,1,17.07,0.2102,1,140.365,1081.125,0.2467,-999,3533.9985
1081.25,87.97,-999,0.1501,87.97,76.1357,2664.115,51.22,42,1527.0739,8.2867,10.0979,-999,3303.9539,17.9289,0.1518,0.1869,1873.2863,1812.2887,5.42,2.3749,1,17.11,0.2238,1,140.3686,1081.25,0.2424,-999,3465.7048
1081.375,91.5,-999,0.1656,91.5,76.1334,2664.8044,50.76,42,1527.2502,8.2867,10.0979,-999,3304.3714,17.9291,0.1716,0.2088,1955.5704,1813.2611,5.44,2.3516,1,17.17,0.252,1,140.3723,1081.375,0.238,-999,3332.0005
1081.5,97.08,-999,0.1886,97.08,76.131,2665.2469,50.1,42,1527.4266,8.2867,10.0979,-999,3304.7828,17.9292,0.1952,0.2426,2070.4779,1813.6661,5.45,2.3171,1,17.22,0.2966,1,140.3759,1081.5,0.2317,-999,3140.4826
1081.625,102.66,-999,0.21,102.66,76.1287,2665.4249,49.52,42,1527.6029,8.2867,10.0979,-999,3305.1885,17.9294,0.217,0.2756,2170.0437,1813.4622,5.46,2.285,1,17.28,0.3413,1,140.3795,1081.625,0.2262,-999,2969.7842
1081.75,105.47,-999,0.2203,105.47,76.1264,2665.3661,49.1,42,1527.7793,8.2867,10.0979,-999,3305.5914,17.9295,0.2276,0.292,2215.4194,1812.7094,5.47,2.2696,1,17.33,0.3638,0.9894,140.3831,1081.75,0.2223,-999,2890.6613
1081.875,104.32,-999,0.2161,104.32,76.124,2664.952,48.57,42,1527.9556,8.2867,10.0979,-999,3305.9954,17.9296,0.2243,0.2853,2197.6558,1811.1267,5.48,2.2758,1,17.29,0.3546,1,140.3868,1081.875,0.2174,-999,2922.5273
1082,98.38,-999,0.1937,98.38,76.1217,2664.3567,48.03,42,1528.132,8.2867,10.0979,-999,3306.4054,17.9298,0.2032,0.2504,2096.0831,1809.1133,5.5,2.3094,1,17.03,0.307,1,140.3904,1082,0.2124,-999,3098.984
1082.125,91.33,-999,0.1649,91.33,76.1194,2663.7409,47.89,42,1528.3083,8.2867,10.0979,-999,3306.8231,17.93,0.1751,0.2078,1953.567,1807.0415,5.51,2.3527,1,16.77,0.2506,1,140.394,1082.125,0.2111,-999,3338.2027
1082.25,81.2,-999,0.1181,81.2,76.117,2663.1434,48.39,42,1528.4847,8.2867,10.0979,-999,3307.2533,17.9302,0.1196,0.1438,1692.864,1804.9953,5.52,2.4229,1,16.52,0.1696,1,140.3977,1082.25,0.2157,-999,3754.6558
1082.375,82,-999,0.122,82,76.1147,2662.6127,48.94,42,1528.661,8.2867,10.0979,-999,3307.6824,17.9305,0.1231,0.149,1716.7079,1803.1063,5.53,2.417,1,16.26,0.176,1,140.4013,1082.375,0.2208,-999,3718.025
